SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	January 19, 2020	January 17, 2020	January 16, 2020	January 15, 2020	January 14, 2020
Chinese yuan		0.1056150000	0.1050280000	0.1051150000	0.1052300000
Euro		0.8045690000	0.8079700000	0.8065390000	0.8050720000
Japanese yen		0.0065727300	0.0065805900	0.0065848500	0.0065798600
U.K. pound		0.9443620000	0.9448380000	0.9419040000	0.9414590000
U.S. dollar		0.7243150000	0.7234040000	0.7238730000	0.7243110000
Algerian dinar		0.0060608200	0.0060553400	0.0060566000	0.0060613200
Australian dollar		0.4994150000	0.4996550000	0.4994000000	0.4999190000
Botswana pula				0.0675374000	0.0674334000
Brazilian real		0.1731530000	0.1733950000	0.1739410000	0.1747980000
Brunei dollar		0.5378440000	0.5371680000	0.5369980000	0.5378810000
Canadian dollar		0.5545210000	0.5545450000	0.5546920000	0.5545180000
Chilean peso				0.0009373070	0.0009313980
Colombian peso		0.0002186020	0.0002194300	0.0002207720	0.0002202860
Czech koruna		0.0319955000	0.0320971000	0.0320766000	0.0320010000
Danish krone		0.1076650000	0.1081190000	0.1079310000	0.1077300000
Indian rupee		0.0101954000	0.0102022000	0.0102133000	0.0102125000
Israeli New Shekel		0.2097030000	0.2093180000	0.2092720000	0.2087350000
Korean won		0.0006246250	0.0006242700	0.0006277630	0.0006267290
Kuwaiti dinar			2.3847200000	2.3862600000	2.3877100000
Malaysian ringgit		0.1782930000	0.1778060000	0.1774630000	0.1783360000
Mauritian rupee		0.0198227000	0.0198215000	0.0198113000	0.0198152000
Mexican peso		0.0386532000	0.0384933000	0.0384881000	0.0385026000
New Zealand dollar		0.4806550000	0.4799060000	0.4782630000	0.4799280000
Norwegian krone		0.0813599000	0.0815655000	0.0816174000	0.0813860000
Omani rial			1.8814100000	1.8826300000	1.8837700000
Peruvian sol			0.2178270000	0.2179030000	0.2176420000
Philippine peso		0.0142694000	0.0142683000	0.0143307000	0.0142848000
Polish zloty		0.1903440000	0.1905300000	0.1905330000	0.1905130000
Qatari riyal			0.1987370000	0.1988660000	0.1989870000
Russian ruble		0.0117711000	0.0117494000	0.0117832000	0.0117939000
Saudi Arabian riyal			0.1929080000	0.1930330000	0.1931500000
Singapore dollar		0.5378440000	0.5371680000	0.5369980000	0.5378810000
South African rand		0.0503016000	0.0503611000		0.0501385000
Swedish krona		0.0763264000	0.0765094000	0.0763990000	0.0764565000
Swiss franc		0.7493820000	0.7513930000	0.7497390000	0.7486420000
Thai baht		0.0237808000	0.0238692000	0.0239186000	0.0239339000
Trinidadian dollar		0.1070920000	0.1070220000	0.1073100000	0.1075700000
U.A.E. dirham			0.1969790000	0.1971060000	0.1972260000
Uruguayan peso			0.0193849000	0.0193746000	0.0193739000

Currency units per SDR(3)

Currency	January 19, 2020	January 17, 2020	January 16, 2020	January 15, 2020	January 14, 2020
Chinese yuan		9.468350	9.521270	9.513390	9.502990
Euro		1.242900	1.237670	1.239870	1.242120
Japanese yen		152.144000	151.962000	151.864000	151.979000
U.K. pound		1.058920	1.058380	1.061680	1.062180
U.S. dollar		1.380610	1.382350	1.381460	1.380620
Algerian dinar		164.994000	165.143000	165.109000	164.981000
Australian dollar		2.002340	2.001380	2.002400	2.000320
Botswana pula				14.806600	14.829400
Brazilian real		5.775240	5.767180	5.749080	5.720890
Brunei dollar		1.859280	1.861610	1.862200	1.859150
Canadian dollar		1.803360	1.803280	1.802800	1.803370
Chilean peso				1,066.890000	1,073.650000
Colombian peso		4,574.520000	4,557.260000	4,529.560000	4,539.550000
Czech koruna		31.254400	31.155500	31.175400	31.249000
Danish krone		9.288070	9.249070	9.265180	9.282470
Indian rupee		98.083400	98.018100	97.911500	97.919200
Israeli New Shekel		4.768650	4.777420	4.778470	4.790760
Korean won		1,600.960000	1,601.870000	1,592.960000	1,595.590000
Kuwaiti dinar			0.419336	0.419066	0.418811
Malaysian ringgit		5.608750	5.624110	5.634980	5.607390
Mauritian rupee		50.447200	50.450300	50.476200	50.466300
Mexican peso		25.871100	25.978500	25.982100	25.972300
New Zealand dollar		2.080490	2.083740	2.090900	2.083650
Norwegian krone		12.291100	12.260100	12.252300	12.287100
Omani rial			0.531516	0.531172	0.530850
Peruvian sol			4.590800	4.589200	4.594700
Philippine peso		70.080000	70.085400	69.780300	70.004500
Polish zloty		5.253650	5.248520	5.248430	5.248990
Qatari riyal			5.031780	5.028510	5.025450
Russian ruble		84.953800	85.110700	84.866600	84.789600
Saudi Arabian riyal			5.183820	5.180460	5.177320
Singapore dollar		1.859280	1.861610	1.862200	1.859150
South African rand		19.880100	19.856600		19.944800
Swedish krona		13.101600	13.070300	13.089200	13.079300
Swiss franc		1.334430	1.330860	1.333800	1.335750
Thai baht		42.050700	41.895000	41.808500	41.781700
Trinidadian dollar		9.337770	9.343870	9.318800	9.296270
U.A.E. dirham			5.076680	5.073410	5.070330
Uruguayan peso			51.586500	51.614000	51.615800


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
